,en_1620,en_1620_d,en_1640,en_1640_d,en_1660,en_1660_d,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
83,thing,0.364,non,0.313,already,0.318,conde,0.351,thekings,0.359,qicen,0.428,poland,0.439,qjeen,0.487,kivg,0.575,kring,0.512,kilig,0.612,maximillian,0.682,kijg,0.707,kiung,0.674,qaeen,0.526,edwardstreet,0.483,duk,0.385
84,kingdome,0.363,clergy,0.313,assistance,0.318,senate,0.351,qucen,0.358,stani,0.427,majeffy,0.438,majeity,0.486,kingl,0.574,kittg,0.512,krng,0.612,prince,0.681,kinrg,0.706,jueeu,0.673,qdeen,0.524,alfonso,0.483,damaskinos,0.384
85,neither,0.363,war,0.313,meeting,0.317,poland,0.348,ossuna,0.357,kins,0.426,monarch,0.435,elector,0.486,qoeen,0.573,sovereign,0.51,ksing,0.61,archduke,0.68,kitng,0.705,kiisg,0.673,kint,0.52,ivmg,0.483,perms—2b,0.384
86,ed,0.363,aft,0.312,writ,0.316,lency,0.348,marquess,0.357,qyeen,0.426,pruffi,0.434,eleaor,0.486,qneen,0.573,krng,0.51,kingand,0.61,kintg,0.68,kxing,0.705,kinff,0.672,quern,0.52,qneen,0.478,gustav,0.384
87,rather,0.362,pro,0.312,don,0.315,marefchal,0.347,prus,0.355,kines,0.426,czarina,0.43,majetly,0.485,kinv,0.573,majeity,0.508,majesiy,0.61,loui3,0.679,kisng,0.704,kinx,0.671,qiieen,0.519,prinoe,0.478,investitures,0.384
88,hat,0.361,you,0.311,hamburg,0.315,branden,0.346,highness,0.355,czar,0.426,majcfty,0.429,kingand,0.482,kring,0.573,majeltv,0.508,kisig,0.609,kiny,0.679,qeeen,0.701,quoeu,0.671,queem,0.519,queeu,0.477,subasic,0.383
89,firfi,0.36,parliament,0.311,defence,0.315,landgrave,0.346,kiing,0.353,kinga,0.425,emprers,0.429,qteen,0.48,kingg,0.571,king—,0.508,kinu,0.608,jerome,0.679,kingl,0.699,kring,0.671,haakons,0.518,ghazi,0.477,nosmo,0.383
90,ir,0.36,aid,0.31,civil,0.314,primate,0.346,bubb,0.352,kingis,0.424,pruf,0.428,emnperor,0.479,kini,0.57,kingo,0.507,queea,0.607,exking,0.678,qusen,0.697,quean,0.67,edwardsi,0.517,fuads,0.474,edwardstreet,0.382
91,we,0.36,rule,0.31,magistrates,0.312,grana,0.346,czarish,0.351,kihgs,0.424,kiings,0.427,sardinia,0.479,kung,0.567,emperor,0.507,majesly,0.607,kicng,0.677,kinag,0.696,tjueen,0.67,quaen,0.517,edwardsi,0.474,athelstan,0.381
92,tie,0.36,means,0.309,acquainted,0.312,mediation,0.346,cassel,0.35,prulfia,0.424,kinc,0.426,majeftv,0.479,kinj,0.566,emperorof,0.505,maiestv,0.606,louis,0.677,ktag,0.694,kieg,0.67,khig,0.516,kingi,0.473,suvorov,0.381
93,ma,0.358,realme,0.309,of,0.312,theduke,0.345,markgrave,0.35,dinia,0.423,oueen,0.426,kring,0.477,qyeen,0.562,kug,0.505,oueen,0.604,pope,0.676,jueen,0.693,kisig,0.67,kinu,0.515,zogs,0.473,colonelin,0.38
