,en_1640,en_1640_d,en_1660,en_1660_d,en_1680,en_1680_d,en_1700,en_1700_d,en_1720,en_1720_d,en_1740,en_1740_d,en_1760,en_1760_d,en_1780,en_1780_d,en_1800,en_1800_d,en_1820,en_1820_d,en_1840,en_1840_d,en_1860,en_1860_d,en_1880,en_1880_d,en_1900,en_1900_d,en_1920,en_1920_d,en_1940,en_1940_d
44,11,0.353,orders,0.388,deputy,0.367,gadier,0.395,geniral,0.439,oberg,0.43,geperal,0.577,genersl,0.659,genleral,0.646,ieneral,0.678,•general,0.787,goueral,0.847,genaral,0.858,genral,0.613,treneral,0.677,ltgen,0.43
45,ap,0.352,arc,0.385,lieute,0.366,mareschal,0.395,reral,0.433,laudon,0.422,geteral,0.576,aeneral,0.655,generul,0.644,leneral,0.677,gsneral,0.783,geneml,0.846,gfeneral,0.858,ireneral,0.612,geeral,0.667,catroux,0.428
46,thb,0.352,sent,0.385,wirtemberg,0.366,sabine,0.394,lieutenantge,0.427,schulemberg,0.418,genrral,0.575,gerneral,0.655,greneral,0.643,thegeneral,0.676,eeneral,0.782,gmeral,0.846,generrl,0.858,sreneral,0.612,gtneral,0.666,tassigny,0.426
47,es,0.351,ministers,0.384,balsa,0.366,vaubonne,0.394,hompesch,0.425,dohna,0.417,gceneral,0.575,genteral,0.654,gerieral,0.643,ueneral,0.674,gmeral,0.782,genertl,0.844,generali,0.855,geneal,0.611,genrral,0.665,stilwells,0.424
48,l,0.351,granted,0.384,nimeguen,0.365,schuylemburg,0.394,weisbach,0.425,lieven,0.415,genesal,0.575,genleral,0.653,qeneral,0.642,peneral,0.668,geueial,0.781,geoeral,0.843,geseral,0.854,genersl,0.608,geneml,0.664,lieutgen,0.423
49,col,0.35,holland,0.382,croatia,0.364,sembly,0.392,ingeneral,0.418,bernclau,0.41,geoeral,0.573,ncral,0.653,geucral,0.639,geeral,0.667,gemeral,0.78,gonoral,0.843,gensral,0.852,teneral,0.606,generi,0.663,nogues,0.423
50,1,0.349,army,0.38,turfs,0.364,the,0.392,zumjungen,0.413,marlial,0.409,ageneral,0.57,geteral,0.652,geneml,0.634,geiieral,0.666,qeneral,0.78,grneral,0.843,jeneral,0.852,geaieral,0.601,genebal,0.659,blaskowitz,0.422
51,tke,0.348,behalf,0.38,berg,0.364,vehlen,0.392,genc,0.411,brigadiergeneral,0.407,gener,0.569,geiieral,0.652,genertl,0.632,eeneral,0.666,geseral,0.78,greneral,0.843,genural,0.85,eral,0.601,geheral,0.656,c1g5,0.421
52,colonell,0.347,forces,0.378,intendant,0.363,majorsgeneral,0.391,diemar,0.405,schmettau,0.399,genertl,0.568,gcneial,0.652,geperal,0.631,geneml,0.666,geneml,0.778,genera,0.843,feneral,0.849,feneral,0.6,ireneral,0.655,ral,0.418
53,fiom,0.347,declared,0.378,bassa,0.362,bergheyck,0.391,genet,0.404,ral,0.395,genaral,0.567,genefal,0.651,geeral,0.63,geperal,0.665,gpneral,0.778,generel,0.842,geteral,0.849,genend,0.599,geneiai,0.655,golikov,0.418
